t=518009 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.18,-0.65,-2.58) | IMU2 a=(9.82,0.54,78.45
t=518129 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.18,-0.69,-2.56) | IMU2 a=(9.81,0.53,78.45
t=518249 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.19,-0.67,-2.60) | IMU2 a=(9.80,0.54,78.45
t=518369 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.65,-2.57) | IMU2 a=(9.80,0.53,78.45
t=518489 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.23,-0.67,-2.61) | IMU2 a=(9.85,0.52,78.45
t=518609 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.20,-0.68,-2.56) | IMU2 a=(9.83,0.56,78.45
t=518729 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.68,-2.59) | IMU2 a=(9.82,0.55,78.45
t=518849 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.19,-0.67,-2.56) | IMU2 a=(9.83,0.53,78.45
t=518969 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.20,-0.68,-2.56) | IMU2 a=(9.84,0.55,78.45
t=519089 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.18,-0.69,-2.56) | IMU2 a=(9.86,0.57,78.45
t=519209 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.17,-0.68,-2.58) | IMU2 a=(9.83,0.53,78.45
t=519329 | GPS=OK Fix=1 | Lat=-35.28 Lng=149.12 Alt=588.40 Spd=0.00 | IMU1 a=(10.14,-0.76,-2.72) | IMU2 a=(9.76,0.62,78.45
t=519449 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(10.31,-0.64,-2.39) | IMU2 a=(9.98,0.59,78.45
t=519569 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(9.85,-0.83,-2.38) | IMU2 a=(9.76,0.75,78.45
t=519689 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.49,-1.00,-1.87) | IMU2 a=(10.22,0.85,78.45
t=519809 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.35,-1.56,-1.92) | IMU2 a=(9.93,1.45,78.45
t=519929 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.36,-1.80,-2.21) | IMU2 a=(9.94,1.72,78.45
t=520049 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.07,-1.97,-2.43) | IMU2 a=(9.40,1.82,78.45
t=520169 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(9.99,-2.63,-2.33) | IMU2 a=(9.57,2.53,78.45
t=520289 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(10.00,-2.54,-2.41) | IMU2 a=(9.60,2.43,78.45
t=520409 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=2.07 Spd=nan | IMU1 a=(9.89,-2.79,-2.17) | IMU2 a=(9.51,2.66,78.45
t=520529 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(9.96,-2.74,-2.22) | IMU2 a=(9.54,2.65,78.45
t=520649 | GPS=NO Fix=1 | Lat=0.00 Lng=0.00 Alt=0.00 Spd=0.00 | IMU1 a=(9.96,-2.77,-2.19) | IMU2 a=(9.54,2.67,78.45
